epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,505.844,0.67691,3.67554,0.56374,0.50737,1.10207,0.96754,0.92683,0.9787,0.75291,0.89431,0.85366,0.88079,0.49276,1.01207,3.87901,0.59006,0.66473,1.24671,0.0007922,0.0007922,0.0007922
63,513.666,0.65961,3.68339,0.57191,0.48697,1.06967,0.97038,0.92683,0.98395,0.71856,0.86416,0.78049,0.80613,0.47273,1.11784,3.7388,0.59211,0.70813,1.31272,0.0007724,0.0007724,0.0007724
64,522.758,0.70025,3.6769,0.56137,0.49956,1.11364,0.96703,0.92683,0.96816,0.71003,0.86508,0.82927,0.81841,0.47186,1.11276,3.7599,0.59297,0.81894,1.30873,0.0007526,0.0007526,0.0007526
65,530.802,0.66295,3.65922,0.55565,0.49001,1.10353,0.92676,0.92588,0.96357,0.70561,0.86498,0.80488,0.82362,0.47026,1.14047,3.78183,0.58811,0.79598,1.31191,0.0007328,0.0007328,0.0007328
66,538.775,0.62658,3.51334,0.55654,0.4671,1.07563,0.9489,0.95122,0.96896,0.72843,0.8673,0.79718,0.82585,0.50122,1.18895,3.86547,0.58569,0.72135,1.33285,0.000713,0.000713,0.000713
67,546.591,0.65951,3.5953,0.55981,0.49572,1.07647,0.97471,0.94001,0.96405,0.71607,0.82045,0.78018,0.79418,0.4662,1.23015,3.99409,0.58842,0.70704,1.33445,0.0006932,0.0006932,0.0006932
68,553.819,0.65605,3.42939,0.55756,0.50223,1.07379,0.92853,0.95067,0.96849,0.70664,0.87841,0.7049,0.76851,0.46525,1.25198,3.98593,0.59262,0.73623,1.35618,0.0006734,0.0006734,0.0006734
69,561.435,0.6698,3.37911,0.54417,0.4866,1.08743,0.90658,0.94686,0.9642,0.69646,0.83686,0.68293,0.7183,0.38662,1.18938,4.09013,0.5896,0.69425,1.34677,0.0006536,0.0006536,0.0006536
70,569.086,0.62624,3.46916,0.56026,0.45873,1.06013,0.92648,0.92216,0.96822,0.71038,0.84975,0.73171,0.73185,0.42566,1.12326,4.25589,0.59455,0.79077,1.31789,0.0006338,0.0006338,0.0006338
71,576.125,0.64584,3.1738,0.55148,0.48238,1.07188,0.90687,0.95009,0.96752,0.75526,0.90367,0.7561,0.76642,0.44208,0.99801,4.10955,0.5866,0.79685,1.22447,0.000614,0.000614,0.000614
72,583.589,0.62889,3.62109,0.54823,0.50152,1.05495,0.92656,0.9233,0.97049,0.72959,0.85998,0.74917,0.79049,0.42974,1.13324,3.84483,0.5737,0.69804,1.26821,0.0005942,0.0005942,0.0005942
73,591.307,0.60836,3.28441,0.5566,0.44363,1.03426,0.90095,0.88754,0.95245,0.7118,0.75643,0.78049,0.76262,0.47041,1.19136,3.78352,0.56727,0.73683,1.29705,0.0005744,0.0005744,0.0005744
74,599.407,0.69079,3.59993,0.5437,0.48514,1.11723,0.86332,0.95122,0.95484,0.69411,0.76627,0.78049,0.78227,0.46455,1.17044,3.72151,0.56236,0.69076,1.30628,0.0005546,0.0005546,0.0005546
75,606.715,0.66134,3.39967,0.55163,0.48,1.06502,0.95082,0.94315,0.96522,0.68716,0.82799,0.82197,0.82673,0.46594,1.18143,3.67911,0.56082,0.64756,1.36366,0.0005348,0.0005348,0.0005348
76,614.685,0.63693,3.28422,0.55346,0.46262,1.07423,0.94983,0.92361,0.97686,0.707,0.86817,0.80314,0.7898,0.47336,1.16199,3.53221,0.57188,0.75754,1.30713,0.000515,0.000515,0.000515
77,621.965,0.64728,3.44854,0.55789,0.49967,1.07603,0.92446,0.95122,0.97427,0.72022,0.83628,0.78049,0.78988,0.44422,1.14757,3.5874,0.57509,0.72764,1.26638,0.0004952,0.0004952,0.0004952
78,629.981,0.62546,3.25938,0.55258,0.48082,1.04487,0.97432,0.92557,0.9757,0.75607,0.84609,0.8045,0.79312,0.4403,1.10637,3.64541,0.57464,0.7009,1.22194,0.0004754,0.0004754,0.0004754
79,637.681,0.58703,3.30946,0.5557,0.44998,1.0366,0.97094,0.92683,0.97889,0.73968,0.86858,0.82927,0.80746,0.45475,1.10421,3.5156,0.57224,0.70082,1.21921,0.0004556,0.0004556,0.0004556
80,646.209,0.61962,3.295,0.54169,0.46932,1.03368,0.95225,0.97282,0.98477,0.75257,0.8706,0.8206,0.80936,0.46195,1.09324,3.47356,0.56392,0.63691,1.24818,0.0004358,0.0004358,0.0004358
81,654.318,0.56474,3.02989,0.54613,0.43696,1.01516,0.92997,0.9718,0.98378,0.7686,0.88321,0.78049,0.79943,0.43065,1.06532,3.63141,0.5639,0.64662,1.23896,0.000416,0.000416,0.000416
82,662.347,0.62877,3.29673,0.5454,0.45982,1.08165,0.94634,0.92683,0.97806,0.77249,0.84665,0.82927,0.81978,0.44939,1.05752,3.64142,0.56388,0.68087,1.23079,0.0003962,0.0003962,0.0003962
83,670.405,0.6091,3.18434,0.54102,0.48112,1.04913,0.9512,0.95092,0.97373,0.75483,0.85262,0.84674,0.84441,0.50971,1.07263,3.51344,0.56697,0.70096,1.23727,0.0003764,0.0003764,0.0003764
84,678.642,0.5873,3.07659,0.54882,0.43228,1.03058,0.96851,0.97561,0.97611,0.73817,0.89468,0.82882,0.8183,0.50818,1.08574,3.38365,0.57032,0.70694,1.26627,0.0003566,0.0003566,0.0003566
85,686.855,0.57193,3.10406,0.55182,0.44942,1.0513,0.97552,0.97209,0.98126,0.73942,0.89604,0.87805,0.87745,0.49898,1.04239,3.40295,0.57201,0.65296,1.22953,0.0003368,0.0003368,0.0003368
86,694.563,0.60635,3.13273,0.54518,0.44582,1.06643,0.97053,0.95122,0.98468,0.74938,0.92066,0.90244,0.90602,0.51784,0.98988,3.27418,0.57516,0.62315,1.19446,0.000317,0.000317,0.000317
87,703.235,0.58734,3.08528,0.54788,0.42652,1.0143,0.9755,0.97111,0.98656,0.76485,0.94835,0.8957,0.91056,0.50026,0.9746,3.28476,0.57516,0.61104,1.18948,0.0002972,0.0002972,0.0002972
88,711.126,0.58696,3.1994,0.54946,0.44368,1.06216,0.97553,0.9724,0.987,0.7793,0.94386,0.90244,0.90798,0.53078,0.98411,3.2164,0.57683,0.60676,1.2011,0.0002774,0.0002774,0.0002774
89,718.868,0.56877,3.06906,0.54614,0.43049,1.02152,0.97552,0.97187,0.987,0.77705,0.88965,0.85366,0.86451,0.53669,0.98994,3.18809,0.57875,0.63546,1.20414,0.0002576,0.0002576,0.0002576
90,726.687,0.58662,3.15262,0.54412,0.43269,1.04807,0.97549,0.97067,0.98624,0.78135,0.89722,0.85366,0.86946,0.54192,0.97126,3.15051,0.57818,0.63773,1.19964,0.0002378,0.0002378,0.0002378
91,749.123,0.46134,2.41646,0.53613,0.38438,0.94565,0.97551,0.97173,0.98575,0.77155,0.89681,0.84804,0.8658,0.55874,0.96171,3.13708,0.57092,0.59749,1.20195,0.000218,0.000218,0.000218
92,757.065,0.43299,2.35204,0.53383,0.33276,0.9568,0.97557,0.97395,0.98737,0.76871,0.87121,0.85366,0.86022,0.50787,1.00065,3.20682,0.56097,0.57285,1.22484,0.0001982,0.0001982,0.0001982
93,765.097,0.45183,2.27277,0.52062,0.3493,0.97274,0.972,0.97561,0.98659,0.77142,0.89973,0.87552,0.88018,0.52073,1.06031,3.19338,0.55964,0.59789,1.25001,0.0001784,0.0001784,0.0001784
94,773.253,0.4352,2.31741,0.52378,0.33069,0.96855,0.94838,0.97561,0.98448,0.76786,0.89268,0.85366,0.87792,0.53917,1.08224,3.15473,0.55804,0.62745,1.2633,0.0001586,0.0001586,0.0001586
95,781.328,0.41677,2.19542,0.51803,0.30078,0.90631,0.94978,0.97561,0.98373,0.77093,0.89702,0.84991,0.87565,0.54978,1.06473,3.135,0.55547,0.6668,1.24859,0.0001388,0.0001388,0.0001388
96,789.582,0.41164,2.19823,0.50869,0.30292,0.9512,0.95219,0.97151,0.98193,0.78519,0.89741,0.85366,0.87441,0.558,1.02046,3.14047,0.54857,0.6875,1.2127,0.000119,0.000119,0.000119
97,796.742,0.4322,2.1976,0.49835,0.29854,0.94121,0.95206,0.96886,0.9824,0.79259,0.89739,0.85321,0.87295,0.55114,1.01391,3.16593,0.54379,0.69135,1.2074,9.92e-05,9.92e-05,9.92e-05
98,804.55,0.42546,2.2463,0.48836,0.29623,0.95588,0.95211,0.96986,0.98345,0.79561,0.89683,0.84814,0.87408,0.55245,1.02199,3.17969,0.541,0.6922,1.21195,7.94e-05,7.94e-05,7.94e-05
99,812.714,0.40326,2.18943,0.49996,0.2892,0.93727,0.95202,0.96807,0.98373,0.7922,0.89698,0.84952,0.87344,0.54374,1.03422,3.15512,0.53955,0.68943,1.22009,5.96e-05,5.96e-05,5.96e-05
100,821.429,0.38109,2.21744,0.50512,0.2688,0.90413,0.95194,0.97561,0.98466,0.78939,0.92297,0.87676,0.90071,0.54632,1.05764,3.15982,0.53916,0.66756,1.23484,3.98e-05,3.98e-05,3.98e-05
